"level","start_date","end_date","lower_age_limit","geography","geography_code","proportion_pos","proportion_pos_high_95","proportion_pos_low_95","population"
"age_school","2020-08-27","2020-08-27",50,"England","E92000001",0.00025,5e-04,1e-04,13618246
"age_school","2020-08-27","2020-08-27",70,"England","E92000001",3e-04,6e-04,1e-04,7679719
"age_school","2020-08-28","2020-08-28",2,"England","E92000001",8e-04,0.0015,4e-04,6254603
"age_school","2020-08-28","2020-08-28",11,"England","E92000001",3e-04,8e-04,1e-04,3370248
"age_school","2020-08-28","2020-08-28",16,"England","E92000001",9e-04,0.0018,4e-04,5950637
"age_school","2020-08-28","2020-08-28",25,"England","E92000001",9e-04,0.0016,5e-04,7596145
"age_school","2020-08-28","2020-08-28",35,"England","E92000001",4e-04,7e-04,2e-04,10853151
"age_school","2020-08-28","2020-08-28",50,"England","E92000001",3e-04,5e-04,2e-04,13618246
"age_school","2020-08-28","2020-08-28",70,"England","E92000001",3e-04,6e-04,2e-04,7679719
"age_school","2020-08-29","2020-08-29",2,"England","E92000001",9e-04,0.0016,4e-04,6254603
"age_school","2020-08-29","2020-08-29",11,"England","E92000001",3e-04,8e-04,1e-04,3370248
"age_school","2020-08-29","2020-08-29",16,"England","E92000001",0.001,0.0019,5e-04,5950637
"age_school","2020-08-29","2020-08-29",25,"England","E92000001",9e-04,0.0016,5e-04,7596145
"age_school","2020-08-29","2020-08-29",35,"England","E92000001",4e-04,7e-04,2e-04,10853151
"age_school","2020-08-29","2020-08-29",50,"England","E92000001",3e-04,5e-04,2e-04,13618246
"age_school","2020-08-29","2020-08-29",70,"England","E92000001",3e-04,6e-04,2e-04,7679719
"age_school","2020-08-30","2020-08-30",2,"England","E92000001",9e-04,0.0017,5e-04,6254603
"age_school","2020-08-30","2020-08-30",11,"England","E92000001",4e-04,9e-04,1e-04,3370248
"age_school","2020-08-30","2020-08-30",16,"England","E92000001",0.0011,0.002,5e-04,5950637
"age_school","2020-08-30","2020-08-30",25,"England","E92000001",0.001,0.0017,5e-04,7596145
"age_school","2020-08-30","2020-08-30",35,"England","E92000001",4e-04,8e-04,2e-04,10853151
"age_school","2020-08-30","2020-08-30",50,"England","E92000001",3e-04,5e-04,2e-04,13618246
"age_school","2020-08-30","2020-08-30",70,"England","E92000001",3e-04,6e-04,2e-04,7679719
"age_school","2020-08-31","2020-08-31",2,"England","E92000001",0.001,0.0017,5e-04,6254603
"age_school","2020-08-31","2020-08-31",11,"England","E92000001",4e-04,9e-04,1e-04,3370248
"age_school","2020-08-31","2020-08-31",16,"England","E92000001",0.0011,0.0021,6e-04,5950637
"age_school","2020-08-31","2020-08-31",25,"England","E92000001",0.001,0.0017,6e-04,7596145
"age_school","2020-08-31","2020-08-31",35,"England","E92000001",5e-04,8e-04,3e-04,10853151
"age_school","2020-08-31","2020-08-31",50,"England","E92000001",3e-04,5e-04,2e-04,13618246
"age_school","2020-08-31","2020-08-31",70,"England","E92000001",4e-04,7e-04,2e-04,7679719
"age_school","2020-09-01","2020-09-01",2,"England","E92000001",0.001,0.0018,5e-04,6254603
"age_school","2020-09-01","2020-09-01",11,"England","E92000001",4e-04,0.001,2e-04,3370248
"age_school","2020-09-01","2020-09-01",16,"England","E92000001",0.0012,0.0022,6e-04,5950637
"age_school","2020-09-01","2020-09-01",25,"England","E92000001",0.0011,0.0018,6e-04,7596145
"age_school","2020-09-01","2020-09-01",35,"England","E92000001",5e-04,8e-04,3e-04,10853151
"age_school","2020-09-01","2020-09-01",50,"England","E92000001",4e-04,6e-04,2e-04,13618246
"age_school","2020-09-01","2020-09-01",70,"England","E92000001",4e-04,7e-04,2e-04,7679719
"age_school","2020-09-02","2020-09-02",2,"England","E92000001",0.0011,0.0019,6e-04,6254603
"age_school","2020-09-02","2020-09-02",11,"England","E92000001",5e-04,0.0011,2e-04,3370248
"age_school","2020-09-02","2020-09-02",16,"England","E92000001",0.0013,0.0023,7e-04,5950637
"age_school","2020-09-02","2020-09-02",25,"England","E92000001",0.0011,0.0019,6e-04,7596145
"age_school","2020-09-02","2020-09-02",35,"England","E92000001",5e-04,8e-04,3e-04,10853151
"age_school","2020-09-02","2020-09-02",50,"England","E92000001",4e-04,6e-04,2e-04,13618246
"age_school","2020-09-02","2020-09-02",70,"England","E92000001",4e-04,7e-04,2e-04,7679719
"age_school","2020-09-03","2020-09-03",2,"England","E92000001",0.0011,0.002,6e-04,6254603
"age_school","2020-09-03","2020-09-03",11,"England","E92000001",5e-04,0.0011,2e-04,3370248
"age_school","2020-09-03","2020-09-03",16,"England","E92000001",0.0014,0.0024,7e-04,5950637
"age_school","2020-09-03","2020-09-03",25,"England","E92000001",0.0012,0.002,7e-04,7596145
"age_school","2020-09-03","2020-09-03",35,"England","E92000001",5e-04,9e-04,3e-04,10853151
"age_school","2020-09-03","2020-09-03",50,"England","E92000001",4e-04,7e-04,2e-04,13618246
"age_school","2020-09-03","2020-09-03",70,"England","E92000001",4e-04,7e-04,2e-04,7679719
"age_school","2020-09-04","2020-09-04",2,"England","E92000001",0.0012,0.002,6e-04,6254603
"age_school","2020-09-04","2020-09-04",11,"England","E92000001",6e-04,0.0012,3e-04,3370248
"age_school","2020-09-04","2020-09-04",16,"England","E92000001",0.0015,0.0025,8e-04,5950637
"age_school","2020-09-04","2020-09-04",25,"England","E92000001",0.0012,0.0021,7e-04,7596145
"age_school","2020-09-04","2020-09-04",35,"England","E92000001",6e-04,0.001,3e-04,10853151
"age_school","2020-09-04","2020-09-04",50,"England","E92000001",4e-04,7e-04,3e-04,13618246
"age_school","2020-09-04","2020-09-04",70,"England","E92000001",4e-04,7e-04,2e-04,7679719
"age_school","2020-09-05","2020-09-05",2,"England","E92000001",0.00125,0.0022,7e-04,6254603
"age_school","2020-09-05","2020-09-05",11,"England","E92000001",7e-04,0.00135,3e-04,3370248
"age_school","2020-09-05","2020-09-05",16,"England","E92000001",0.0016,0.0027,9e-04,5950637
"age_school","2020-09-05","2020-09-05",25,"England","E92000001",0.0014,0.0023,8e-04,7596145
"age_school","2020-09-05","2020-09-05",35,"England","E92000001",0.00065,0.00105,4e-04,10853151
"age_school","2020-09-05","2020-09-05",50,"England","E92000001",5e-04,0.00075,3e-04,13618246
"age_school","2020-09-05","2020-09-05",70,"England","E92000001",0.00045,0.00075,2e-04,7679719
"age_school","2020-09-06","2020-09-06",2,"England","E92000001",0.00135,0.0023,0.00075,6254603
"age_school","2020-09-06","2020-09-06",11,"England","E92000001",8e-04,0.00155,3e-04,3370248
"age_school","2020-09-06","2020-09-06",16,"England","E92000001",0.00165,0.00285,0.00095,5950637
"age_school","2020-09-06","2020-09-06",25,"England","E92000001",0.00145,0.0024,0.00085,7596145
"age_school","2020-09-06","2020-09-06",35,"England","E92000001",0.00065,0.00115,4e-04,10853151
"age_school","2020-09-06","2020-09-06",50,"England","E92000001",5e-04,8e-04,3e-04,13618246
"age_school","2020-09-06","2020-09-06",70,"England","E92000001",0.00045,0.00075,0.00025,7679719
"age_school","2020-09-07","2020-09-07",2,"England","E92000001",0.00135,0.0024,0.00075,6254603
"age_school","2020-09-07","2020-09-07",11,"England","E92000001",0.00085,0.00165,4e-04,3370248
"age_school","2020-09-07","2020-09-07",16,"England","E92000001",0.0018,0.00295,0.00105,5950637
"age_school","2020-09-07","2020-09-07",25,"England","E92000001",0.0015,0.0025,9e-04,7596145
"age_school","2020-09-07","2020-09-07",35,"England","E92000001",0.00075,0.0012,0.00045,10853151
"age_school","2020-09-07","2020-09-07",50,"England","E92000001",6e-04,9e-04,4e-04,13618246
"age_school","2020-09-07","2020-09-07",70,"England","E92000001",5e-04,8e-04,3e-04,7679719
"age_school","2020-09-08","2020-09-08",2,"England","E92000001",0.0014,0.0025,0.00075,6254603
"age_school","2020-09-08","2020-09-08",11,"England","E92000001",0.00095,0.0018,5e-04,3370248
