"WeekEndDate"	"LTLA"	"Lineage"	"Count"
"2020-09-05"	"E07000007"	"B.1.36.29"	2
"2020-09-05"	"E07000007"	"B.1.389"	1
"2020-09-05"	"E07000007"	"None"	1
"2020-09-05"	"E07000008"	"B.1.1"	1
"2020-09-05"	"E07000008"	"B.1.177"	1
"2020-09-05"	"E07000008"	"B.1.177.10"	1
"2020-09-05"	"E07000010"	"Lineage data suppressed"	1
"2020-09-05"	"E07000011"	"Lineage data suppressed"	1
"2020-09-05"	"E07000012"	"B.1.1"	2
"2020-09-05"	"E07000012"	"B.1.1.305"	2
"2020-09-05"	"E07000027"	"Lineage data suppressed"	1
"2020-09-05"	"E07000032"	"Lineage data suppressed"	1
"2020-09-05"	"E07000038"	"Lineage data suppressed"	1
"2020-09-05"	"E07000039"	"Lineage data suppressed"	1
"2020-09-05"	"E07000040"	"B.1.160"	1
"2020-09-05"	"E07000040"	"B.1.258"	1
"2020-09-05"	"E07000042"	"Lineage data suppressed"	2
"2020-09-05"	"E07000043"	"Lineage data suppressed"	1
"2020-09-05"	"E07000045"	"B.1.160"	1
"2020-09-05"	"E07000045"	"B.1.258"	1
"2020-09-05"	"E07000062"	"B.1.1"	1
"2020-09-05"	"E07000062"	"B.1.177"	1
"2020-09-05"	"E07000062"	"None"	2
"2020-09-05"	"E07000063"	"B"	1
"2020-09-05"	"E07000063"	"B.1.1.277"	1
"2020-09-05"	"E07000063"	"C.35"	1
"2020-09-05"	"E07000064"	"Lineage data suppressed"	2
"2020-09-05"	"E07000065"	"B.1.160"	1
"2020-09-05"	"E07000065"	"B.1.177"	1
"2020-09-05"	"E07000066"	"B.1.1.1"	4
"2020-09-05"	"E07000066"	"B.1.1.277"	4
"2020-09-05"	"E07000066"	"B.1.177.4"	1
"2020-09-05"	"E07000066"	"B.1.177.57"	1
"2020-09-05"	"E07000066"	"B.1.36.16"	1
"2020-09-05"	"E07000067"	"B.1.177"	1
"2020-09-05"	"E07000068"	"Lineage data suppressed"	1
"2020-09-05"	"E07000069"	"AD.2"	10
"2020-09-05"	"E07000069"	"B.1.1.37"	1
"2020-09-05"	"E07000069"	"B.1.505"	3
"2020-09-05"	"E07000070"	"AD.2"	1
